"";"sentence";"sentiment";"prep_standard";"prep_full";"prep_masked"
65;"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .";2;"kesko stock exchange release 28 02 2008 09 30 1 1 kesko aspo plc sign agreement aspo acquire share capital kauko telko ltd subsidiary wholly kesko";"kesko stock exchange release 28.02.2008 09.301 1 kesko aspo plc sign agreement aspo acquire share capital kauko-telko ltd subsidiary wholly kesko";"kesko stock exchange release [NUMBER] . [DATE] [NUMBER] [NUMBER] kesko aspo plc sign agreement aspo acquire share capital kauko-telko ltd subsidiary wholly kesko"
66;"Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .";2;"sponda plc stock exchange release 5 december 2006 15 45 eur 1 5 billion syndicate credit facility sponda sponda sign agreement one syndicate credit facility total eur 1 5 billion";"sponda plc stock exchange release 2006-2012-05 15.45 eur1.5bn syndicate credit facility sponda sponda sign agreement 1-year syndicate credit facility total eur1.5bn";"sponda plc stock exchange release [DATE] [DATE] [NUMBER] [NUMBER] [MONEY] syndicate credit facility sponda sponda sign agreement [NUMBER] -year syndicate credit facility total [MONEY]"
67;"STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .";1;"stock exchange announcement 20 july 2006 1 1 basware share subscription warrant increase share capital total 119 850 share subscribe basware warrant program";"stock exchange announcement 20 july 20061 1 basware share subscription warrant increase share capital total 119850 share subscribe basware warrant program";"stock exchange announcement [NUMBER] july [NUMBER] [NUMBER] basware share subscription warrant increase share capital total [NUMBER] share subscribe basware warrant program"
68;"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .";2;"contract cover hdo platform ac800 cxe880 optical fttb node design increase forward return path capacity transmission network";"contract cover hdo platform ac800 c optical fttb node design increase forward return path capacity transmission network";"contract cover hdo platform ac800 c optical fttb node design increase forward return path capacity transmission network"
69;"The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .";1;"new plant plan electricity generation capacity up 350 megawatt mw heat generation capacity";"new plant plan electricity generation capacity up 350megawatts mw heat generation capacity";"new plant plan electricity generation capacity up 350megawatts mw heat generation capacity"
70;"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .";2;"25 index up 0 92 pct 2 518 67 cap portfolio index 0 91 pct high 4 711 19";"25 index up 0.92pct 2518.67 cap portfolio index 0.91pct high 4711.19";"[NUMBER] index up [PERCENT] [NUMBER] cap portfolio index [PERCENT] high [NUMBER]"
71;"- So , the sales growth of cars considerably influence on the tires market '' .";1;"sale growth car considerably influence tire market";"sale growth car considerably influence tire market";"sale growth car considerably influence tire market"
72;"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .";1;"maximum 666 104 new share far subscribe exercise b option 2004 stock option plan";"maximum 666104 new share far subscribe exercise b option 2004 stock option plan";"maximum [NUMBER] new share far subscribe exercise b option [DATE] stock option plan"
73;"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .";1;"result share issue number share increase 391 630 share share capital total eur 15 665 20";"result share issue number share increase 391630 share share capital total eur15665.20";"result share issue number share increase [NUMBER] share share capital total [MONEY]"
74;"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .";1;"real estate investor sponda plc say wednesday 12 march sign agreement danske bank branch 7 eur150m credit facility ilmarinen mutual pension insurance 7 eur50m credit facility";"real estate investor sponda plc say wednesday 12march sign agreement danske bank a-s branch 7-year eur150m credit facility ilmarinen mutual pension insurance 7-year eur50m credit facility";"real estate investor sponda plc say wednesday 12march sign agreement danske bank a-s branch [NUMBER] -year eur150m credit facility ilmarinen mutual pension insurance [NUMBER] -year eur50m credit facility"
75;"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .";1;"route tallinn estonia cargo volume increase 36 cargo volume sweden fell 9";"route tallinn estonia cargo volume increase 36pct cargo volume sweden fell 9pct";"route tallinn estonia cargo volume increase [PERCENT] cargo volume sweden fell [PERCENT]"
76;"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .";1;"measure increase synergy economy scale within grimaldi personnel adjustment divestments redelivery excess tonnage";"measure increase synergy economy scale within grimaldi personnel adjustment divestments redelivery excess tonnage";"measure increase synergy economy scale within grimaldi personnel adjustment divestments redelivery excess tonnage"
77;"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .";2;"rinkuskiai raise sale 18 1 percent 1 37 million liter sale kauno alus grow 14 3 percent 960 000 liter";"rinkuskiai raise sale 18.1pct 1.37mn liter sale kauno alus grow 14.3pct 960000 liter";"rinkuskiai raise sale [PERCENT] [NUMBER] 37mn liter sale kauno alus grow [PERCENT] [NUMBER] liter"
78;"TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .";1;"telecomworldwire 7 april 2006 tj plc sell stake morning digital design tj plc say friday 7 april sign agreement sell share morning digital design edita";"telecomworldwire-2006-2004-07-tj plc sell stake morning digital design tj plc say friday 7 april sign agreement sell share morning digital design edita";"telecomworldwire- [DATE] [DATE] [NUMBER] -tj plc sell stake morning digital design tj plc say friday [NUMBER] april sign agreement sell share morning digital design edita"
79;"TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .";2;"telecomworldwire 7 april 2006 tj plc sell stake morning digital design tj plc say friday 7 april sign agreement sell share morning digital design edita";"telecomworldwire-2006-2004-07-tj plc sell stake morning digital design tj plc say friday 7 april sign agreement sell share morning digital design edita";"telecomworldwire- [DATE] [DATE] [NUMBER] -tj plc sell stake morning digital design tj plc say friday [NUMBER] april sign agreement sell share morning digital design edita"
80;"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .";1;"718 430 new series share become subject trading stock exchange main list together old series share july 3 2006";"718430 new series share become subject trading stock exchange main list together old series share 2006-2007-03";"[NUMBER] new series share become subject trading stock exchange main list together old series share [DATE] [DATE] [NUMBER]"
81;"The fuel purchase contracts have been signed with three months ' delivery from this September to November .";1;"fuel purchase contract sign three month delivery september november";"fuel purchase contract sign 3months delivery september november";"fuel purchase contract sign 3months delivery september november"
82;"Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .";1;"tiimari operate 194 store six country core market generate turnover 76 5 mln eur 2005";"tiimari operate 194 store 6 country -- core market -- generate turnover eur76.5mn 2005";"tiimari operate [NUMBER] store [NUMBER] country -- core market -- generate turnover [MONEY] [DATE]"
83;"Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .";2;"agreement biohit become focus supplier pipettors disposable pipettor tip vwr customer throughout europe";"agreement biohit become focus supplier pipettors disposable pipettor tip vwr customer throughout europe";"agreement biohit become focus supplier pipettors disposable pipettor tip vwr customer throughout europe"
84;"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .";2;"combination service enable u offer complex strengthened service chain not only limited baltic port connection but get access world wide grimaldi network mediterranean africa north america say uwe bakosch";"combination service enable u offer complex strengthened service chain not only limited baltic port connection but get access world wide grimaldi network mediterranean africa north america say uwe bakosch";"combination service enable u offer complex strengthened service chain not only limited baltic port connection but get access world wide grimaldi network mediterranean africa north america say uwe bakosch"
